"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iotc","JPN",137.5,-47.5,1989,1742.434,0,98,NA,NA,NA,98,NA,NA
"iotc","JPN",137.5,-47.5,1990,853.046,0,74,NA,NA,NA,74,NA,NA
"iotc","JPN",137.5,-47.5,1993,104.796,0,5,NA,NA,NA,5,NA,NA
"iotc","JPN",137.5,-47.5,1997,1413.154,0,77,NA,NA,NA,77,NA,NA
"iotc","JPN",137.5,-47.5,1998,392.089,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",137.5,-47.5,1999,330.594,0,16,NA,NA,NA,16,NA,NA
"iotc","JPN",137.5,-47.5,2000,130.373,0,8,NA,5,NA,3,NA,NA
"iotc","JPN",137.5,-47.5,2001,36.194,0,17,NA,17,NA,NA,NA,NA
"iotc","JPN",142.5,-47.5,1966,1976.049,0,18,NA,NA,NA,18,NA,NA
"iotc","JPN",142.5,-47.5,1967,965.875,0,18,NA,NA,NA,18,NA,NA
"iotc","JPN",142.5,-47.5,1968,4778.758,0,148,NA,17,NA,124,NA,7
"iotc","JPN",142.5,-47.5,1969,1791.666,0,47,NA,NA,NA,41,NA,6
"iotc","JPN",142.5,-47.5,1970,2220.006,0,208,NA,NA,NA,208,NA,NA
"iotc","JPN",142.5,-47.5,1971,4238.996,0,21,NA,NA,NA,21,NA,NA
"iotc","JPN",142.5,-47.5,1972,7269.256,0,430,NA,NA,NA,430,NA,NA
"iotc","JPN",142.5,-47.5,1973,7344.716,0,39,NA,NA,NA,39,NA,NA
"iotc","JPN",142.5,-47.5,1974,3724.662,0,67,NA,NA,NA,67,NA,NA
"iotc","JPN",142.5,-47.5,1975,4562.142,0,89,NA,NA,NA,89,NA,NA
"iotc","JPN",142.5,-47.5,1976,8432.554,0,66,NA,NA,NA,65,NA,1
"iotc","JPN",142.5,-47.5,1977,3363.656,0,77,NA,NA,NA,77,NA,NA
"iotc","JPN",142.5,-47.5,1978,743.284,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",142.5,-47.5,1979,3051.16,0,114,NA,NA,NA,114,NA,NA
"iotc","JPN",142.5,-47.5,1980,6011.03,0,141,NA,4,NA,137,NA,NA
"iotc","JPN",142.5,-47.5,1981,2404.234,0,105,NA,NA,NA,105,NA,NA
"iotc","JPN",142.5,-47.5,1984,185.578,0,4,NA,NA,NA,4,NA,NA
"iotc","JPN",142.5,-47.5,1986,169.756,0,35,NA,NA,NA,35,NA,NA
"iotc","JPN",142.5,-47.5,1987,2377.045,0,23,NA,NA,NA,23,NA,NA
"iotc","JPN",142.5,-47.5,1988,1179.442,0,17,NA,NA,NA,17,NA,NA
"iotc","JPN",142.5,-47.5,1989,243.268,0,10,NA,NA,NA,10,NA,NA
"iotc","JPN",142.5,-47.5,1990,496.658,0,141,NA,NA,NA,141,NA,NA
"iotc","JPN",142.5,-47.5,1991,67.441,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",142.5,-47.5,1997,112.767,0,4,NA,NA,NA,4,NA,NA
"iotc","JPN",147.5,-47.5,1962,11.765,0,19,NA,NA,NA,19,NA,NA
"iotc","JPN",147.5,-47.5,1963,254.027,0,662,NA,NA,NA,662,NA,NA
"iotc","JPN",147.5,-47.5,1964,37.776,0,142,NA,NA,NA,142,NA,NA
"iotc","JPN",147.5,-47.5,1965,513.136,0,271,NA,NA,NA,271,NA,NA
"wcpfc","JPN",147.5,-47.5,1966,1654.23,6.326,486,0,0,6.267,484,0.059,2
"iotc","JPN",147.5,-47.5,1967,1034.121,0,118,NA,NA,NA,118,NA,NA
"wcpfc","JPN",147.5,-47.5,1968,3121.27,10.625,722,1.616,38,9.009,684,0,0
"wcpfc","JPN",147.5,-47.5,1969,2305.574,1.715,116,0,0,1.622,113,0.093,3
"wcpfc","JPN",147.5,-47.5,1970,5981.473,10.716,785,0.753,16,9.842,765,0.121,4
"wcpfc","JPN",147.5,-47.5,1971,5453.594,4.372,301,0,0,4.372,301,0,0
"wcpfc","JPN",147.5,-47.5,1972,3572.891,10.302,703,0,0,10.302,703,0,0
"wcpfc","JPN",147.5,-47.5,1973,3148.587,1.027,77,0,0,1.027,77,0,0
"wcpfc","JPN",147.5,-47.5,1974,3051.477,3.052,245,0,0,3.052,245,0,0
"wcpfc","JPN",147.5,-47.5,1975,1843.472,0.141,9,0,0,0.141,9,0,0
"wcpfc","JPN",147.5,-47.5,1976,2748.634,1.85,119,0,0,1.85,119,0,0
"wcpfc","JPN",147.5,-47.5,1977,2721.301,0.085,6,0,0,0.085,6,0,0
